# libc6-sha1;package_name;main_arena_offset
013fb4a88610a3d00572b93162dd9724be869210;libc6_2.24-3ubuntu2.2_amd64;3939072
e3e5cd5e1857220a50f9028894290c45ffe9187b;libc6_2.24-3ubuntu2.2_i386;1795968
4e5dfd832191073e18a09728f68666b6465eeacd;libc6_2.24-9ubuntu2.2_amd64;3939072
925be5a163a8f80fd9dbc350746ffaa257f56844;libc6_2.24-9ubuntu2.2_i386;1795968
efc93447524dd116fe95e3c353c6146da963983a;libc6_2.24-9ubuntu2_amd64;3939072
67080cea4756718717c5c7eb4552ea73ba748590;libc6_2.24-9ubuntu2_i386;1795968
cc8df6278e095fcc4ca8a98e1f1c69c04db30a4c;libc6_2.26-0ubuntu2.1_amd64;4041760
bd0930ae3321c7900e1402993f14e0941090468a;libc6_2.26-0ubuntu2.1_i386;1910688
08d7e3b1a7a983fdb893b11943c9e3884e59e887;libc6_2.26-0ubuntu2_amd64;4041760
27d5ccf6ccda6156caa2fb251ccd23a8473b854e;libc6_2.26-0ubuntu2_i386;1910688
18292bd12d37bfaf58e8dded9db7f1f5da1192cb;libc6_2.27-3ubuntu1_amd64;4111424
e3d54f5709190f15a9c51089c70f2069771913c1;libc6_2.27-3ubuntu1_i386;1935264
35bc971d85479d1f7ad5f48752302d9dd185f577;libc6_2.28-0ubuntu1_amd64;1985600
1db983db270b6dd385123cfd90e0d8a4737e9c02;libc6_2.28-0ubuntu1_i386;1955744
983c7ca2ea2db0f47d16b97f6149a4898d07122a;libc6_2.3.2.ds1-13ubuntu2.2_amd64;2314528
1c167c2ea55b4ce4607a64c4c934132f5b03d89a;libc6_2.3.2.ds1-13ubuntu2.2_amd64_2;2314528
08b6ddb903723b8d962131f82cfd58e1edec11d8;libc6_2.3.2.ds1-13ubuntu2.2_i386;1211328
8b511b51232713d639b0f03f8feb24f35e8497a5;libc6_2.3.2.ds1-13ubuntu2.2_i386_2;1211328
f7f1db3939f334c6cc0331202402f46ce9ac42b9;libc6_2.3.2.ds1-13ubuntu2.3_amd64;2314528
d3593b47d84fdab46eae0274dbb9ac8f09d26f0b;libc6_2.3.2.ds1-13ubuntu2.3_amd64_2;2314528
2c972b2c5fc9f61579e092860eb540b14a4c1637;libc6_2.3.2.ds1-13ubuntu2.3_i386;1211328
97bc16051c00b92d50fc2d6070e50824d97b6877;libc6_2.3.2.ds1-13ubuntu2.3_i386_2;1211328
5fa7327d096de50542803af31d0f85be139d35f6;libc6_2.3.2.ds1-13ubuntu2_amd64;2314528
c9e0a673bcf4b437faa08422ad5a102a29e4f6a0;libc6_2.3.2.ds1-13ubuntu2_amd64_2;2314528
970271f3d814454bddb589ad45d96a05a590025d;libc6_2.3.2.ds1-13ubuntu2_i386;1211328
76b67449717df056dbd36c3d27e30b056a44e2ad;libc6_2.3.2.ds1-13ubuntu2_i386_2;1211328
7acc99dd7afc29229f83abeba0ca477194ec5830;libc6_2.3.2.ds1-20ubuntu13_amd64;2340288
8ace213eca5075d21ea3267532270804f2fec2b3;libc6_2.3.2.ds1-20ubuntu13_i386;1211264
81e770b002baab7ce29768ca13ef0642fea0a9ae;libc6_2.3.2.ds1-20ubuntu13_i386_2;1211264
927da4c4d45f9c6cb535ef0b479e62581ef75ba0;libc6_2.3.2.ds1-20ubuntu15_amd64;2340288
f289799d5bbdebe294c973b213fac46a654ef433;libc6_2.3.2.ds1-20ubuntu15_i386;1211264
bc4c0bf1580a3490e901bb6a155c0570e3d453a5;libc6_2.3.2.ds1-20ubuntu15_i386_2;1211264
7bd0341308daf78f12cb5f57e04eb927e9e445cf;libc6_2.3.5-1ubuntu12.5.10.1_amd64;2307616
4acaaa94f425b311f4a661b99c3dc85099c20263;libc6_2.3.5-1ubuntu12.5.10.1_i386;1104320
5f85c3f2b75a07fe48f8c59d477783486abaa057;libc6_2.3.5-1ubuntu12.5.10.1_i386_2;1104320
7395a5746614d95afcb0262166f97c411ada3bbd;libc6_2.3.5-1ubuntu12_amd64;2306560
1ca38392708a10551e232d77c3b116c00c47679e;libc6_2.3.5-1ubuntu12_i386;1132928
